Independence Day,święto niepodległości
a ballet,balet
a bandage,bandaż
a beetle,chrząszcz
a behavior,zachowanie
a bend,zakręt
a bin,kosz
a blood,krew
a boarding school,internat
a bone,kość
a border,granica
a boutique,butik
a bowl,miska
a brake,hamulec
a breakfast,śniadanie
a breath,oddech
a breed,rasa
a burst,rozerwanie
a bursting,pęknięcie
a by-pass,obwodnica
a capital,stolica
a carbohydrate,węglowodan
a cave,jaskinia
a censorship,cenzura
a charge,opłata
a charm,urok
a chase,pościg
a cheque book,książeczka czekowa
a cheque,czek
a cherry,wiśnia
a childhood,dzieciństwo
a chronicle, kronika
a classmate,kolega z pracy
a climbing,wspinaczka
a colleague,kolega z pracy
a commuter,dojeżdżający
a complaint,skarga
a contest / a competition,konkurs
a contract,kontrakt
a contraction,skurcz
a contractor,kontrahent
a countryside,wieś
a court,sąd
a cuisine,kuchnia
a cure,lekarstwo
a currency,waluta
a dandruff shampoo,szampon przeciwłupieżowy
a dandruff,łupież
a desert island,bezludna wyspa
a desert,pustynia
a dessert,deser
a dining room,jadalnia
a direction,kierunek
a disadvantage,wada
a disappearance,zanik
a disappearing,znikanie
a discarding,odrzucanie
a disease,choroba
a disgust,niesmak
a dough,ciasto (do pizzy)
a drawback,wada
a drawer,szuflada
a drawing,rysunek
a duel,pojedynek
a dueling,pojedynkowanie
a exercise,ćwiczenie
a experience,doświadczenie
a fall,spadek / upadek / jesień
a fare / a fee,opłata
a favour,przysługa
a feeling,uczucie
a fibre,błonnik
a fight,walka
a fin,płetwa
a flare,raca
a flavor,smak
a flavoring,przyprawa
a forest,las
a forestry,leśnictwo
a freight train,pociąg towarowy
a fur,sierść
a furniture,meble
a gamble,hazard
a gambling,hazard
a gang,banda
a gathering,zebranie
a ghostwriter, Autor widmo
a grooming,pielegnacja
a grunt,chrząknięcie
a guest,gość
a guilt,wina
a gust,poryw
a hall,hol
a happiness,szczęście
a harm,szkoda
a high school,liceum
a hint,wskazówka
a hitchhiking,autostop
a holder,uchwyt
a homework,praca domowa (lekcje)
a hood,kaptur
a hooded,zakapturzony
a hoodie,bluza z kapturem
a host,gospodarz
a housework,prace domowe (sprzątanie)
a hummingbird,koliber
a hurdler,płotkarz
a hurt,ból
a intermition,przerwa
a jelly,galaretka
a jellyfish,meduza
a jewellery,biżuteria
a kayak / a canoe,kajak
a kitchen,kuchnia
a lane,pas drogowy
a lecture,wykład
a legume plant,roślina strączkowa
a lemon balm,melisa
a lender,pożyczający
a lesson,lekcja
a limb,kończyna
a litlle bit,trochę
a living room,salon
a lizard,jaszczurka
a loan,pożyczka
a lot of / plenty of,dużo
a lot,dużo
a lying,kłamstwo
a mammal,ssak
a mate,kumpel
a maternity leave,urlop macierzyński
a mattress,materac
a meal,posiłek
a measurement,pomiar
a meat, mięso
a merchant,kupiec
a might,moc
a millionaire,milioner
a monk,mnich
